feed_name,ingredient,composition
marine_dominant,chicken-protein-concentrate,0
marine_dominant,feather-meal,0
marine_dominant,meat-bone-meal,0
marine_dominant,ovine-meal,0
marine_dominant,poultry-meal,0
marine_dominant,fishmeal-forage,0.307101727
marine_dominant,fishmeal-trimmings,0
marine_dominant,fish-oil-forage,0.220729367
marine_dominant,fish-oil-trimmings,0
marine_dominant,krill-meal,0
marine_dominant,bsf-meal,0
marine_dominant,single-cell-protein,0
marine_dominant,spirulina-meal,0
marine_dominant,yeast-meal,0
marine_dominant,microingredients,0.040307102
marine_dominant,canola-meal,0
marine_dominant,canola-oil,0
marine_dominant,coconut-oil,0
marine_dominant,corn-gluten,0.038387716
marine_dominant,faba-beans,0.019193858
marine_dominant,guar-meal,0
marine_dominant,guar-meal-high-protein,0
marine_dominant,linseed-oil,0
marine_dominant,pea-flour,0
marine_dominant,pea-protein-concentrate,0
marine_dominant,rapeseed-oil,0
marine_dominant,soybean-meal,0.163147793
marine_dominant,soybean-oil,0
marine_dominant,soy-protein-concentrate,0
marine_dominant,sunflower-meal,0
marine_dominant,sunflower-meal-high-protein,0
marine_dominant,tapioca,0
marine_dominant,wheat,0.067178503
marine_dominant,wheat-gluten,0.143953935
plant_dominant,chicken-protein-concentrate,0
plant_dominant,feather-meal,0
plant_dominant,meat-bone-meal,0
plant_dominant,ovine-meal,0
plant_dominant,poultry-meal,0
plant_dominant,fishmeal-forage,0.08365019
plant_dominant,fishmeal-trimmings,0.031368821
plant_dominant,fish-oil-forage,0.079847909
plant_dominant,fish-oil-trimmings,0.019011407
plant_dominant,krill-meal,0.003802281
plant_dominant,bsf-meal,0
plant_dominant,single-cell-protein,0
plant_dominant,spirulina-meal,0
plant_dominant,yeast-meal,0
plant_dominant,microingredients,0.039923954
plant_dominant,canola-meal,0
plant_dominant,canola-oil,0.171102662
plant_dominant,coconut-oil,0.009505703
plant_dominant,corn-gluten,0.006653992
plant_dominant,faba-beans,0.034220532
plant_dominant,guar-meal,0.040874525
plant_dominant,guar-meal-high-protein,0.040874525
plant_dominant,linseed-oil,0.012357414
plant_dominant,pea-flour,0.023764259
plant_dominant,pea-protein-concentrate,0.013307985
plant_dominant,rapeseed-oil,0
plant_dominant,soybean-meal,0
plant_dominant,soybean-oil,0.003802281
plant_dominant,soy-protein-concentrate,0.198669202
plant_dominant,sunflower-meal,0.032319392
plant_dominant,sunflower-meal-high-protein,0
plant_dominant,tapioca,0
plant_dominant,wheat,0.061787072
plant_dominant,wheat-gluten,0.093155894
novel_inclusive,chicken-protein-concentrate,0.097370983
novel_inclusive,feather-meal,0
novel_inclusive,meat-bone-meal,0
novel_inclusive,ovine-meal,0
novel_inclusive,poultry-meal,0
novel_inclusive,fishmeal-forage,0
novel_inclusive,fishmeal-trimmings,0.048685492
novel_inclusive,fish-oil-forage,0.019474197
novel_inclusive,fish-oil-trimmings,0.048685492
novel_inclusive,krill-meal,0.019474197
novel_inclusive,bsf-meal,0.048685492
novel_inclusive,single-cell-protein,0.068159688
novel_inclusive,spirulina-meal,0.068159688
novel_inclusive,yeast-meal,0.068159688
novel_inclusive,microingredients,0.045764362
novel_inclusive,canola-meal,0
novel_inclusive,canola-oil,0.146056475
novel_inclusive,coconut-oil,
novel_inclusive,corn-gluten,0.077896787
novel_inclusive,faba-beans,0
novel_inclusive,guar-meal,0
novel_inclusive,guar-meal-high-protein,0
novel_inclusive,linseed-oil,0.029211295
novel_inclusive,pea-flour,0
novel_inclusive,pea-protein-concentrate,0.048685492
novel_inclusive,rapeseed-oil,0
novel_inclusive,soybean-meal,0
novel_inclusive,soybean-oil,0.019474197
novel_inclusive,soy-protein-concentrate,0.146056475
novel_inclusive,sunflower-meal,0
novel_inclusive,sunflower-meal-high-protein,0
novel_inclusive,tapioca,0
novel_inclusive,wheat,0
novel_inclusive,wheat-gluten,0
