ingredient,raw_material,processing,dimension,unit_value
Black soldier-fly meal,Turkey,Indonesia,biodiversity,0.634763104
Black soldier-fly meal,India,Indonesia,biodiversity,0.3314843
Black soldier-fly meal,Germany,Indonesia,biodiversity,0.410815104
Black soldier-fly meal,Egypt,Indonesia,biodiversity,0.35350913
Black soldier-fly meal,China,Indonesia,biodiversity,0.562647364
Black soldier-fly meal,Turkey,Iran,biodiversity,0.426423134
Black soldier-fly meal,India,Iran,biodiversity,0.358306196
Black soldier-fly meal,Germany,Iran,biodiversity,0.293613629
Black soldier-fly meal,Egypt,Iran,biodiversity,0.505275288
Black soldier-fly meal,China,Iran,biodiversity,0.648109546
Black soldier-fly meal,Turkey,Pakistan,biodiversity,0.624692089
Black soldier-fly meal,India,Pakistan,biodiversity,0.105742373
Black soldier-fly meal,Germany,Pakistan,biodiversity,0.333483399
Black soldier-fly meal,Egypt,Pakistan,biodiversity,0.20321517
Black soldier-fly meal,China,Pakistan,biodiversity,0.695764295
Canola oil,Philippines,Indonesia,biodiversity,0.265832392
Canola oil,Nigeria,Indonesia,biodiversity,0.67340411
Canola oil,Philippines,Philippines,biodiversity,0.448869403
Canola oil,Nigeria,Philippines,biodiversity,0.57027367
Canola oil,Philippines,United States,biodiversity,0.733110451
Canola oil,Nigeria,United States,biodiversity,0.332035803
Canola oil,Philippines,Turkey,biodiversity,0.469721387
Canola oil,Nigeria,Turkey,biodiversity,0.739438599
Chicken protein concentrate,Egypt,Iran,biodiversity,0.418843537
Chicken protein concentrate,Thailand,Iran,biodiversity,0.790409886
Chicken protein concentrate,Turkey,Iran,biodiversity,0.399028474
Chicken protein concentrate,China,Iran,biodiversity,0.439306087
Chicken protein concentrate,Russia,Iran,biodiversity,0.511385884
Chicken protein concentrate,Egypt,Congo (DRC),biodiversity,0.578260147
Chicken protein concentrate,Thailand,Congo (DRC),biodiversity,0.010387345
Chicken protein concentrate,Turkey,Congo (DRC),biodiversity,0.406194948
Chicken protein concentrate,China,Congo (DRC),biodiversity,0.76536681
Chicken protein concentrate,Russia,Congo (DRC),biodiversity,0.573635799
Chicken protein concentrate,Egypt,Indonesia,biodiversity,0.591042802
Chicken protein concentrate,Thailand,Indonesia,biodiversity,0.283126336
Chicken protein concentrate,Turkey,Indonesia,biodiversity,0.536943137
Chicken protein concentrate,China,Indonesia,biodiversity,0.357954776
Chicken protein concentrate,Russia,Indonesia,biodiversity,0.30853373
Chicken protein concentrate,Egypt,Turkey,biodiversity,0.444351398
Chicken protein concentrate,Thailand,Turkey,biodiversity,0.329733778
Chicken protein concentrate,Turkey,Turkey,biodiversity,0.704613283
Chicken protein concentrate,China,Turkey,biodiversity,0.736895501
Chicken protein concentrate,Russia,Turkey,biodiversity,-0.004391564
Chicken protein concentrate,Egypt,Thailand,biodiversity,0.594897164
Chicken protein concentrate,Thailand,Thailand,biodiversity,0.639603954
Chicken protein concentrate,Turkey,Thailand,biodiversity,0.226129258
Chicken protein concentrate,China,Thailand,biodiversity,0.523407942
Chicken protein concentrate,Russia,Thailand,biodiversity,0.261912179
Coconut oil,China,Brazil,biodiversity,0.52454074
Coconut oil,Iran,Brazil,biodiversity,0.383947857
Coconut oil,Vietnam,Brazil,biodiversity,0.600882497
Coconut oil,Japan,Brazil,biodiversity,0.522327288
Coconut oil,United States,Brazil,biodiversity,0.10434448
Coconut oil,Mexico,Brazil,biodiversity,0.604087677
Coconut oil,China,Egypt,biodiversity,0.741160198
Coconut oil,Iran,Egypt,biodiversity,0.332947121
Coconut oil,Vietnam,Egypt,biodiversity,0.523026219
Coconut oil,Japan,Egypt,biodiversity,0.286486325
Coconut oil,United States,Egypt,biodiversity,0.531585793
Coconut oil,Mexico,Egypt,biodiversity,0.525906607
Corn gluten meal,Thailand,Mexico,biodiversity,0.510280052
Corn gluten meal,United States,Mexico,biodiversity,0.361523047
Corn gluten meal,Germany,Mexico,biodiversity,0.5684539
Corn gluten meal,Ethiopia,Mexico,biodiversity,0.621187857
Corn gluten meal,Indonesia,Mexico,biodiversity,0.503512861
Corn gluten meal,China,Mexico,biodiversity,0.242722292
Corn gluten meal,Thailand,Brazil,biodiversity,0.014507802
Corn gluten meal,United States,Brazil,biodiversity,0.761684045
Corn gluten meal,Germany,Brazil,biodiversity,0.499611868
Corn gluten meal,Ethiopia,Brazil,biodiversity,0.482006219
Corn gluten meal,Indonesia,Brazil,biodiversity,0.537034561
Corn gluten meal,China,Brazil,biodiversity,0.356556788
Faba beans,Ethiopia,Mexico,biodiversity,0.207600444
Faba beans,United States,Mexico,biodiversity,0.498510089
Faba beans,Bangladesh,Mexico,biodiversity,0.643610247
Faba beans,China,Mexico,biodiversity,0.545628954
Faba beans,Ethiopia,Indonesia,biodiversity,0.153895128
Faba beans,United States,Indonesia,biodiversity,0.671962761
Faba beans,Bangladesh,Indonesia,biodiversity,0.675039839
Faba beans,China,Indonesia,biodiversity,0.507176021
Faba beans,Ethiopia,Bangladesh,biodiversity,-0.026451029
Faba beans,United States,Bangladesh,biodiversity,0.571062496
Faba beans,Bangladesh,Bangladesh,biodiversity,0.172179221
Faba beans,China,Bangladesh,biodiversity,0.190831477
Faba beans,Ethiopia,Pakistan,biodiversity,0.604225402
Faba beans,United States,Pakistan,biodiversity,0.573855542
Faba beans,Bangladesh,Pakistan,biodiversity,0.693054702
Faba beans,China,Pakistan,biodiversity,0.883854578
Faba beans,Ethiopia,United States,biodiversity,0.143957957
Faba beans,United States,United States,biodiversity,0.222016903
Faba beans,Bangladesh,United States,biodiversity,0.139778463
Faba beans,China,United States,biodiversity,0.960342598
Fishmeal forage,Russia,Pakistan,biodiversity,0.4974964
Fishmeal forage,China,Pakistan,biodiversity,0.610569055
Fishmeal forage,Egypt,Pakistan,biodiversity,0.478802314
Fishmeal forage,Pakistan,Pakistan,biodiversity,0.298421456
Fishmeal forage,Japan,Pakistan,biodiversity,0.444682564
Fishmeal forage,Turkey,Pakistan,biodiversity,0.697489361
Fishmeal forage,Russia,Brazil,biodiversity,0.706786867
Fishmeal forage,China,Brazil,biodiversity,0.674035812
Fishmeal forage,Egypt,Brazil,biodiversity,0.281339779
Fishmeal forage,Pakistan,Brazil,biodiversity,0.684281683
Fishmeal forage,Japan,Brazil,biodiversity,0.391728073
Fishmeal forage,Turkey,Brazil,biodiversity,0.57011877
Fishmeal forage,Russia,Ethiopia,biodiversity,0.751053476
Fishmeal forage,China,Ethiopia,biodiversity,0.791982421
Fishmeal forage,Egypt,Ethiopia,biodiversity,0.435556877
Fishmeal forage,Pakistan,Ethiopia,biodiversity,0.642010902
Fishmeal forage,Japan,Ethiopia,biodiversity,0.608226133
Fishmeal forage,Turkey,Ethiopia,biodiversity,0.724008559
Fishmeal trimmings,Pakistan,Germany,biodiversity,0.336056619
Fishmeal trimmings,United States,Germany,biodiversity,0.714713909
Fishmeal trimmings,Philippines,Germany,biodiversity,0.366604445
Fishmeal trimmings,India,Germany,biodiversity,0.802319322
Fishmeal trimmings,Nigeria,Germany,biodiversity,0.497122359
Fishmeal trimmings,Pakistan,Bangladesh,biodiversity,0.238149992
Fishmeal trimmings,United States,Bangladesh,biodiversity,0.626156931
Fishmeal trimmings,Philippines,Bangladesh,biodiversity,0.822284646
Fishmeal trimmings,India,Bangladesh,biodiversity,0.458568179
Fishmeal trimmings,Nigeria,Bangladesh,biodiversity,0.474313884
Fishmeal trimmings,Pakistan,Turkey,biodiversity,1.23343389
Fishmeal trimmings,United States,Turkey,biodiversity,0.399484774
Fishmeal trimmings,Philippines,Turkey,biodiversity,0.335887256
Fishmeal trimmings,India,Turkey,biodiversity,0.594609586
Fishmeal trimmings,Nigeria,Turkey,biodiversity,0.431487709
Fish oil forage,Ethiopia,Mexico,biodiversity,0.609135162
Fish oil forage,Mexico,Mexico,biodiversity,0.459835941
Fish oil forage,Ethiopia,Indonesia,biodiversity,0.675181257
Fish oil forage,Mexico,Indonesia,biodiversity,0.722691433
Fish oil forage,Ethiopia,Brazil,biodiversity,0.435781403
Fish oil forage,Mexico,Brazil,biodiversity,0.342031051
Fish oil forage,Ethiopia,Germany,biodiversity,0.403841133
Fish oil forage,Mexico,Germany,biodiversity,0.698852666
Fish oil trimmings,Congo (DRC),Brazil,biodiversity,0.328902228
Fish oil trimmings,Indonesia,Brazil,biodiversity,0.581157208
Fish oil trimmings,Congo (DRC),Iran,biodiversity,0.465866455
Fish oil trimmings,Indonesia,Iran,biodiversity,0.72045793
Fish oil trimmings,Congo (DRC),Thailand,biodiversity,0.303894533
Fish oil trimmings,Indonesia,Thailand,biodiversity,0.094470535
Fish oil trimmings,Congo (DRC),Philippines,biodiversity,0.424233166
Fish oil trimmings,Indonesia,Philippines,biodiversity,0.370387138
Fish oil trimmings,Congo (DRC),Turkey,biodiversity,0.42910078
Fish oil trimmings,Indonesia,Turkey,biodiversity,0.373470826
Guar meal,United States,Indonesia,biodiversity,0.861986081
Guar meal,Mexico,Indonesia,biodiversity,0.368912626
Guar meal,Vietnam,Indonesia,biodiversity,0.35120259
Guar meal,United States,Bangladesh,biodiversity,0.681719123
Guar meal,Mexico,Bangladesh,biodiversity,0.561274901
Guar meal,Vietnam,Bangladesh,biodiversity,0.716734143
Guar meal,United States,Iran,biodiversity,0.634207355
Guar meal,Mexico,Iran,biodiversity,0.500941392
Guar meal,Vietnam,Iran,biodiversity,0.521314398
Guar meal,United States,Congo (DRC),biodiversity,0.563821321
Guar meal,Mexico,Congo (DRC),biodiversity,0.522119527
Guar meal,Vietnam,Congo (DRC),biodiversity,0.215390221
Guar meal,United States,Ethiopia,biodiversity,0.107100641
Guar meal,Mexico,Ethiopia,biodiversity,0.515278193
Guar meal,Vietnam,Ethiopia,biodiversity,0.366833021
Krill meal,Philippines,Mexico,biodiversity,0.496856502
Krill meal,Egypt,Mexico,biodiversity,0.634786509
Krill meal,United States,Mexico,biodiversity,0.512051889
Krill meal,Iran,Mexico,biodiversity,0.935630376
Krill meal,Pakistan,Mexico,biodiversity,0.309222028
Krill meal,Germany,Mexico,biodiversity,0.445484239
Krill meal,Philippines,Nigeria,biodiversity,0.469091632
Krill meal,Egypt,Nigeria,biodiversity,0.492167696
Krill meal,United States,Nigeria,biodiversity,0.102674014
Krill meal,Iran,Nigeria,biodiversity,0.379514981
Krill meal,Pakistan,Nigeria,biodiversity,0.399154018
Krill meal,Germany,Nigeria,biodiversity,0.730963957
Krill meal,Philippines,United States,biodiversity,0.404181571
Krill meal,Egypt,United States,biodiversity,0.303410278
Krill meal,United States,United States,biodiversity,0.590166678
Krill meal,Iran,United States,biodiversity,0.383275266
Krill meal,Pakistan,United States,biodiversity,0.365821161
Krill meal,Germany,United States,biodiversity,0.644629969
Krill meal,Philippines,Pakistan,biodiversity,0.559637263
Krill meal,Egypt,Pakistan,biodiversity,0.661134123
Krill meal,United States,Pakistan,biodiversity,0.580472192
Krill meal,Iran,Pakistan,biodiversity,0.920335043
Krill meal,Pakistan,Pakistan,biodiversity,0.424313059
Krill meal,Germany,Pakistan,biodiversity,0.770442004
Linseed oil,Indonesia,Thailand,biodiversity,0.548140164
Linseed oil,United States,Thailand,biodiversity,0.736972609
Linseed oil,Vietnam,Thailand,biodiversity,0.622466012
Linseed oil,Indonesia,Iran,biodiversity,0.741910207
Linseed oil,United States,Iran,biodiversity,0.488831807
Linseed oil,Vietnam,Iran,biodiversity,0.389787117
Linseed oil,Indonesia,Ethiopia,biodiversity,0.581932515
Linseed oil,United States,Ethiopia,biodiversity,0.629495518
Linseed oil,Vietnam,Ethiopia,biodiversity,1.03014409
